	gene_name	DE
0	Mir206	Down
1	Mir133b	Down
818	Mir30a	No
2	Mir30c-2	No
3	Mir6896	No
5	Mir6897	No
6	Mir6898	No
822	Mir7681	No
7	Mir6899	No
9	Mir26b	No
824	Mir375	No
826	Mir5126	Down
13	mmu-mir-3535	No
14	Mir6900	No
15	Mir149	No
16	Mir6901	No
20	Mir128-1	Down
21	Mir135b	No
22	Mir6903	No
23	Mir1231	No
24	Mir181a-1	No
25	Mir181b-1	No
26	Mir7682	No
829	Mir8114	No
28	Mir1843b	No
29	Mir1927	No
30	Mir199a-2	Up
31	Mir214	No
32	Mir6546	No
34	Mir350	No
36	Mir1981	No
37	Mir664	No
38	Mir194-1	No
39	Mir215	No
41	Mir205	No
42	Mir29b-2	No
43	Mir29c	No
47	Mir669e	No
51	Mir669l	Up
54	Mir297a-2	Up
56	Mir467c	No
93	Mir466b-3	No
95	Mir467e	No
97	Mir467d	No
100	Mir669c	No
106	Mir466n	Up
107	Mir669o	Up
109	Mir466h	No
114	Mir669h	Up
116	Mir7655	No
119	Mir3087	No
120	Mir6996	No
124	Mir6997	No
840	Mir3089	No
125	Mir6998	No
126	Mir7674	No
841	Mir199b	No
842	Mir181a-2	No
843	Mir181b-2	No
133	Mir5129	No
134	Mir7224	No
136	Mir10b	Up
847	Mir130a	No
138	Mir1955	No
144	Mir7002	No
852	Mir674	No
147	Mir147	No
148	Mir3473g	No
150	Mir103-2	No
856	Mir1953	No
151	Mir5622	Up
152	Mir499	Down
858	Mir7685	Down
153	Mir3474	No
860	Mir296	No
861	Mir298	No
158	Mir3091	No
862	Mir1a-1	Down
863	Mir133a-2	No
162	Mir3092	No
166	Mir7008	No
168	Mir7009	No
915	Mir8120	No
169	Mir15b	No
170	Mir16-2	No
918	Mir92b	Up
175	Mir7669	No
919	Mir190b	No
177	Mir7013	No
178	Mir7014	No
180	Mir137	No
181	Mir760	No
184	Mir1956	Down
929	Mir7j	No
185	Mir186	No
192	Mir3094	No
196	Mir32	No
197	Mir3095	No
198	Mir455	Down
199	Mir491	Down
200	Mir31	No
202	Mir872	No
203	Mir101a	No
205	Mir7226	No
207	Mir30c-1	No
209	Mir7015	No
213	Mir7119	No
215	Mir7016	No
216	Mir7017	No
217	Mir5122	No
218	Mir7227	No
220	Mir700	No
221	Mir7018	No
222	Mir6399	Up
226	Mir7021	No
227	Mir7022	No
228	Mir5616	No
939	Mir34a	No
232	Mir200b	No
233	Mir7658	No
235	Mir671	No
236	Mir1960	No
239	Mir7024	No
240	Mir7036b	No
241	Mir3097	No
942	Mir7689	Down
242	Mir218-1	No
244	Mir574	No
245	Mir7025	No
247	Mir5619	No
248	Mir7026	No
249	Mir701	No
952	Mir6240	Down
252	Mir7029	No
254	Mir7031	No
256	Mir7647	No
257	Mir7032	No
258	Mir7033	No
259	Mir7034	No
260	Mir7035	No
262	Mir702	No
264	Mir7036	No
265	Mir6418	No
266	Mir25	No
267	Mir93	No
268	Mir106b	No
269	Mir339	No
271	Mir7038	No
272	Mir7039	No
957	Mir182	No
958	Mir96	No
959	Mir183	No
277	Mir335	Down
960	Mir29a	No
961	Mir29b-1	Up
280	Mir704	No
962	Mir148a	Up
282	Mir196b	No
963	Mir8112	No
283	Mir7040	No
287	Mir7661	No
288	Mir7042	No
289	Mir7660	No
294	Mir141	No
