gene_id	C2C12_0_f_1	C2C12_0_f_2	gastroc_PND04_f_1	gastroc_PND04_f_2	gastroc_PND04_m_1	gastroc_PND04_m_2	gastroc_PND10_f_1	gastroc_PND10_f_2	gastroc_PND10_m_1	gastroc_PND10_m_2	gastroc_PND14_f_1	gastroc_PND14_f_2	gastroc_PND14_m_1	gastroc_PND14_m_2	gastroc_PND25_f_1	gastroc_PND25_f_2	gastroc_PND25_m_1	gastroc_PND25_m_2	gastroc_PND36_f_1	gastroc_PND36_f_2	gastroc_PND36_m_1	gastroc_PND36_m_2	gastroc_PNM02_f_1	gastroc_PNM02_f_2	gastroc_PNM02_m_1	gastroc_PNM02_m_2	gastroc_PNM08_f_1	gastroc_PNM08_m_1	gastroc_PNM08_m_2	gastroc_PNM18_f_1	gastroc_PNM18_f_2	gastroc_PNM18_m_1	gastroc_PNM18_m_2	gastroc_E10.5_na_1	gastroc_E10.5_na_2	gastroc_E11.5_na_1	gastroc_E11.5_na_2	gastroc_E12.5_na_1	gastroc_E12.5_na_2	gastroc_E13.5_na_1	gastroc_E13.5_na_2	gastroc_E14.5_na_1	gastroc_E14.5_na_2	gastroc_E15.5_na_1	gastroc_E15.5_na_2	myotube_72_f_1	myotube_72_f_2	skeletal muscle tissue_PND0_na_1	skeletal muscle tissue_PND0_na_1	skeletal muscle tissue_PND0_na_2	skeletal muscle tissue_PND0_na_2	C2C12_0_f_1	C2C12_0_f_2	C2C12_0_f_2	myotube_72_f_1	myotube_72_f_2	myotube_72_f_2
ENSMUSG00000099183.1	12	4	2	4	1	8	3	8	9	4	13	11	5	7	3	4	5	10	5	8	7	1	4	4	3	10	7	5	7	6	13	13	15	0	0	0	0	1	1	6	0	0	0	2	3	12	19	1	14	4	10	0	0	1	6	2	4
ENSMUSG00000065559.1	70786	15451	720323	517475	652657	101	407082	376268	402312	442713	254163	363510	187358	150165	54848	393515	79589	94404	32871	139295	106820	92373	52086	96104	12983	109240	88927	38135	39300	34953	224741	52468	132694	96	350	1561	1909	9937	9002	22175	23657	27840	18282	47115	24658	2584038	4111798	298316	852425	447669	1305418	27143	24389	27329	1074677	1300194	1256891
ENSMUSG00000065480.1	2433	306	444	373	427	10	96	135	174	173	68	133	57	70	44	146	18	41	26	34	52	46	36	54	14	27	24	27	10	35	121	159	34	4	25	92	83	212	156	446	452	716	452	359	216	103180	104254	2556	6690	4440	8902	334	359	1088	26475	26033	21244
ENSMUSG00000065405.3	223146	132440	26029	16861	16800	17258	21166	28472	20710	25686	22738	30468	24622	18329	24181	80569	27252	39132	35650	43057	95563	78045	53574	80623	25820	78430	27612	18038	18114	31101	44917	143786	47005	18023	20008	13458	15665	27408	19015	28252	23210	21590	20349	18328	21469	46398	64996	17696	45908	20188	32248	125913	135138	120392	27729	28878	25335
ENSMUSG00000065567.1	5289	1440	213	240	186	1986	239	277	298	421	343	411	283	277	267	993	257	307	293	507	744	658	407	658	159	509	876	709	563	544	1736	1845	1532	125	57	111	71	77	90	65	71	69	72	67	88	535	812	51	135	87	197	2074	1710	2018	517	529	416
ENSMUSG00000105982.1	31	13	4	0	0	0	6	1	1	0	2	0	0	0	2	2	0	0	0	0	1	0	0	2	0	1	1	0	0	0	2	3	2	0	0	1	0	0	1	0	2	0	2	0	0	9	25	1	2	4	7	2	6	2	2	11	4
ENSMUSG00000092852.1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	14	1	11	8	15	9	23	14	10	9	5	6	0	0	9	8	10	12	0	0	0	0	0	0
ENSMUSG00000098752.1	76	32	3	4	6	6	3	0	1	2	1	5	1	1	0	1	2	1	1	0	6	1	2	1	0	0	0	0	1	0	4	4	0	14	6	12	11	12	14	8	10	9	5	10	5	24	19	4	14	4	23	0	0	0	1	1	2
ENSMUSG00000098680.1	6	7	1	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	4	1	0	4	2	0	1	1	1	2	0	3	3	4	2	3	0	3	1	2	5	4	1	0
ENSMUSG00000106081.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1
ENSMUSG00000105211.1	47	17	11	14	10	2	11	4	1	5	1	6	10	3	15	17	0	0	4	0	9	4	1	0	1	1	1	0	0	0	1	1	1	2	3	3	2	3	0	10	6	5	4	10	4	11	17	6	9	3	12	11	8	5	5	6	1
ENSMUSG00000098443.1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	4	7	5	4	0	2
ENSMUSG00000092705.1	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	5	2	5	3	0	1	3	3	1	1	0	0	0	0	1	3	0	0	0	0	0	0
