	gene_name	DE
0	Mir206	No
1	Mir133b	Up
818	Mir30a	No
2	Mir30c-2	Up
3	Mir6896	No
4	Mir5103	Down
5	Mir6897	Down
6	Mir6898	No
7	Mir6899	No
9	Mir26b	Down
824	Mir375	Down
826	Mir5126	No
13	mmu-mir-3535	No
14	Mir6900	No
15	Mir149	No
20	Mir128-1	No
21	Mir135b	Down
22	Mir6903	Down
23	Mir1231	Up
24	Mir181a-1	Down
25	Mir181b-1	No
26	Mir7682	No
829	Mir8114	No
27	Mir488	Down
28	Mir1843b	No
29	Mir1927	No
30	Mir199a-2	No
31	Mir214	No
32	Mir6546	No
34	Mir350	No
36	Mir1981	No
37	Mir664	No
38	Mir194-1	No
39	Mir215	Down
834	Mir3962	No
42	Mir29b-2	Up
43	Mir29c	Down
47	Mir669e	Down
51	Mir669l	Down
54	Mir297a-2	No
56	Mir467c	Down
93	Mir466b-3	No
95	Mir467e	Down
97	Mir467d	Down
100	Mir669c	No
106	Mir466n	Down
107	Mir669o	Down
109	Mir466h	Up
114	Mir669h	No
115	Mir511	Down
116	Mir7655	No
119	Mir3087	Up
120	Mir6996	No
121	Mir126a	No
124	Mir6997	No
840	Mir3089	Up
125	Mir6998	No
126	Mir7674	No
841	Mir199b	Down
842	Mir181a-2	No
843	Mir181b-2	No
133	Mir5129	No
134	Mir7224	No
136	Mir10b	Down
847	Mir130a	Down
138	Mir1955	No
139	Mir7000	No
142	Mir670	Down
852	Mir674	No
147	Mir147	Down
148	Mir3473g	No
150	Mir103-2	No
856	Mir1953	Up
151	Mir5622	No
152	Mir499	Down
858	Mir7685	Up
153	Mir3474	No
859	Mir6340	No
860	Mir296	No
861	Mir298	No
157	Mir7005	No
158	Mir3091	Up
862	Mir1a-1	Down
863	Mir133a-2	Down
161	Mir7007	Down
162	Mir3092	No
164	Mir551b	No
166	Mir7008	No
168	Mir7009	No
169	Mir15b	No
170	Mir16-2	Down
918	Mir92b	No
175	Mir7669	No
919	Mir190b	Down
177	Mir7013	No
180	Mir137	Down
181	Mir760	No
923	Mir302b	Down
925	Mir302a	Down
926	Mir302d	Down
184	Mir1956	Up
929	Mir7j	Down
185	Mir186	No
192	Mir3094	No
196	Mir32	Down
197	Mir3095	Up
198	Mir455	No
199	Mir491	Up
200	Mir31	Up
202	Mir872	Down
203	Mir101a	No
205	Mir7226	No
207	Mir30c-1	No
209	Mir7015	Up
213	Mir7119	No
215	Mir7016	No
216	Mir7017	No
217	Mir5122	Up
220	Mir700	No
221	Mir7018	No
223	Mir7019	Down
226	Mir7021	Down
228	Mir5616	No
939	Mir34a	No
230	Mir429	Down
231	Mir200a	Down
232	Mir200b	Down
233	Mir7658	No
234	Mir879	Down
235	Mir671	No
236	Mir1960	No
239	Mir7024	No
240	Mir7036b	No
241	Mir3097	No
942	Mir7689	No
242	Mir218-1	No
244	Mir574	No
245	Mir7025	No
247	Mir5619	Down
248	Mir7026	No
249	Mir701	Down
952	Mir6240	Up
254	Mir7031	No
256	Mir7647	No
257	Mir7032	No
258	Mir7033	Up
260	Mir7035	Up
262	Mir702	No
264	Mir7036	No
265	Mir6418	No
266	Mir25	Up
267	Mir93	No
268	Mir106b	No
269	Mir339	No
272	Mir7039	No
273	Mir653	Down
274	Mir489	Down
275	Mir592	Down
276	Mir129-1	Down
957	Mir182	Up
958	Mir96	No
959	Mir183	Up
277	Mir335	Down
960	Mir29a	Up
961	Mir29b-1	Up
278	Mir490	Down
280	Mir704	Up
962	Mir148a	Down
282	Mir196b	Down
963	Mir8112	No
288	Mir7042	No
289	Mir7660	No
290	Mir7043	Down
294	Mir141	Down
295	Mir200c	Down
296	Mir7045	No
297	Mir3098	Up
974	Mir291a	No
977	Mir293	Down
978	Mir294	Down
301	Mir3572	No
302	Mir3099	Down
980	Mir5620	Up
303	Mir3100	No
304	Mir330	No
306	Mir7046	No
310	Mir3101	No
311	Mir1191	No
312	Mir7049	No
313	Mir1963	No
314	Mir1964	Up
982	Mir7668	No
316	Mir7051	Down
317	Mir7052	Up
318	Mir7053	No
320	Mir7054	No
984	Mir150	Down
321	Mir5121	No
329	Mir344b	No
988	Mir344g	Down
333	Mir211	Down
992	Mir7-2	No
336	Mir9-3	No
337	Mir1839	No
338	Mir708	Down
340	Mir326	Up
341	Mir3102	No
342	Mir139	No
344	Mir7059	No
346	Mir3103	Up
351	Mir7062	No
996	Mir210	No
352	Mir7063	No
354	Mir675	No
355	Mir483	Down
356	Mir7064	Down
358	Mir7654	No
359	Mir7238	No
361	Mir1968	Up
366	Mir383	No
367	Mir7666	Up
1014	Mir7240	Up
369	Mir7067	Up
1015	Mir1969	No
371	Mir7068	Up
372	Mir1668	Up
1017	Mir8111	No
373	Mir1199	Up
375	Mir181d	No
376	Mir181c	Down
1018	Mir23a	No
1019	Mir27a	Up
377	Mir7069	Up
378	Mir7070	No
379	Mir7071	No
380	Mir138-2	No
382	Mir7073	No
1024	Mir328	Up
383	Mir1966	No
384	Mir7074	No
385	Mir7075	No
386	Mir140	Up
388	Mir3473d	Up
392	Mir7687	Up
399	Mir5618	Down
403	Mir7082	No
1040	Mir199a-1	Down
404	Mir7083	No
406	Mir100	No
407	Mirlet7a-2	Down
408	Mir125b-1	No
409	Mir7085	No
1042	Mir34c	Up
1043	Mir34b	Up
413	Mir5133	No
414	Mir190a	Down
415	Mir3109	No
1049	Mir5626	Down
1050	Mir184	Down
416	Mir7656	No
417	Mir7243	No
419	Mirlet7g	Down
422	Mir425	No
424	Mir7089	No
1053	Mir6236	Up
426	Mir128-2	No
427	Mir26a-1	Down
430	Mir138-1	No
432	Mir7663	No
436	Mir7662	No
439	Mir1930	No
440	Mir7659	Up
441	Mir6907	No
443	Mir6908	No
444	Mir6909	Up
446	Mir6911	No
448	Mir1982	No
449	Mir3057	Up
451	Mir1191b	No
452	Mir135a-2	No
453	Mir1251	Down
1006	Mir7688	Down
455	Mir331	Up
456	Mir7211	No
457	Mir3058	No
458	Mir3059	No
461	Mirlet7i	Down
1010	Mir378d	Down
462	Mir26a-2	Down
464	Mir677	No
466	Mir6915	No
1011	Mir8105	No
467	Mir6916	Up
468	Mir6917	Down
469	Mir3060	No
471	Mir7651	No
472	Mir1933	No
474	Mir217	Down
475	Mir218-2	Down
476	Mir103-1	No
1058	Mir146	Down
478	Mir340	Down
479	Mir6919	Up
480	Mir3061	No
482	Mir7652	No
483	Mir6921	No
484	Mir6922	Up
485	Mir5100	Up
486	Mir744	No
487	Mir6923	Down
488	Mir3062	No
1064	Mir1934	Up
490	Mir324	No
1067	Mir195a	Down
492	Mir6925	No
493	Mir6926	No
494	Mir212	No
495	Mir132	No
496	Mir22	No
498	Mir423	Up
1070	Mir144	Down
499	Mir7653	Up
1073	Mir193a	Up
1074	Mir365-2	Up
501	Mir21a	No
502	Mir301	Down
1078	Mir378b	No
1079	Mir196a-1	Down
1080	Mir10a	Down
505	Mir152	No
506	Mir8103	No
511	Mir6928	No
512	Mir6929	No
513	Mir8101	No
516	Mir3064	No
517	Mir6932	No
1083	Mir3968	Up
518	Mir5621	Up
519	Mir6516	No
520	Mir6933	Up
521	Mir6934	No
1084	Mir1932	No
523	Mir6935	Down
524	Mir6936	No
525	Mir7236	No
528	Mir3066	Down
529	Mir6538	Up
1094	Mir5099	No
531	Mir1938	No
1095	Mir5627	No
534	Mir5101	Down
535	Mir1843a	No
536	Mir3067	Down
538	Mir3068	No
541	Mir3069	No
542	Mir342	No
543	Mir345	No
545	Mir770	Down
1098	Mir673	Down
1099	Mir493	Down
1100	Mir337	Down
1102	Mir540	Down
1103	Mir665	Down
1104	Mir3070a	Down
1105	Mir3070b	Down
1106	Mir431	Down
1107	Mir433	Down
1108	Mir127	Down
1109	Mir434	Down
547	Mir341	Down
548	Mir1188	Down
549	Mir370	Down
1113	Mir379	Down
1114	Mir411	Down
1115	Mir299a	Down
1118	Mir1197	Down
1119	Mir323	Down
1120	Mir758	Down
1121	Mir329	Down
1122	Mir494	Down
1123	Mir679	Down
1124	Mir1193	Down
1125	Mir666	Down
1126	Mir543	Down
1127	Mir495	Down
1128	Mir667	Down
1129	Mir376c	Down
1131	Mir376b	Down
1133	Mir300	Down
1134	Mir381	Down
1135	Mir487b	Down
1137	Mir544	Down
550	Mir382	Down
551	Mir134	Down
552	Mir668	Down
553	Mir485	Down
555	Mir154	Down
556	Mir496a	Down
557	Mir377	Down
558	Mir541	Down
560	Mir412	Down
561	Mir369	Down
562	Mir410	Down
563	Mir3072	Down
564	Mir1247	Down
566	Mir6939	Up
567	Mir6940	Up
568	Mir6941	No
571	Mir153	Down
1087	Mir1983	No
576	Mirlet7d	No
578	Mirlet7a-1	Down
579	Mir6943	No
580	Mir6944	No
581	Mir6945	No
582	Mir874	Down
584	Mir7-1	No
585	Mir23b	No
586	Mir27b	Up
593	Mir582	Up
595	Mir449c	Up
597	Mir449a	No
598	Mir6946	No
599	Mir3075	Down
601	Mir6947	Up
602	Mir3076	Up
603	Mir346	Down
604	Mir5131	No
1030	Mir378c	No
606	Mir6948	No
607	Mir208a	Down
608	Mir208b	Down
610	Mir3077	Up
612	Mir16-1	Down
613	Mir15a	Down
614	Mir8098	No
616	Mir598	Down
619	Mir6539	No
1032	Mir320	No
622	Mir5130	Down
624	Mir17	Down
625	Mir18	Down
626	Mir19a	No
627	Mir20a	Down
628	Mir19b-1	Down
629	Mir92-1	Up
634	Mir7117	No
636	Mir6951	Down
638	Mir28c	No
1145	Mir30b	No
639	Mir30d	Up
640	Mir151	No
641	Mir6952	Up
643	Mir6953	Up
1147	Mir3079	No
644	Mir6954	Up
647	Mir6955	Up
648	Mir6956	No
649	Mir1943	No
650	Mir7213	Down
652	Mir5113	No
653	Mir33	No
655	Mir3080	Down
657	Mir1249	Up
658	Mirlet7c-2	No
659	Mirlet7b	No
660	Mir7118	Up
661	Mir6958	No
662	Mir6959	Up
663	Mir7648	Up
664	Mir1291	No
665	Mir6960	Up
668	Mir1941	Up
670	Mir196a-2	Down
671	Mir615	Up
672	Mir148b	Up
673	Mir6963	Up
1149	Mir1945	No
1150	Mir193b	Up
1153	Mir484	No
675	Mir130b	Down
676	Mir301b	Down
677	Mir1306	No
678	Mir185	No
679	Mir1224	No
680	Mir7680	Up
682	Mir28a	No
684	Mir1947	Up
685	Mir6540	No
687	Mir3081	No
689	Mir99a	Down
690	Mirlet7c-1	No
691	Mir125b-2	No
692	Mir155	No
693	Mir6964	No
694	Mir99b	No
696	Mir125a	Up
697	Mir5125	No
698	Mir5134	No
699	Mir6965	No
700	Mir3547	No
701	Mir6966	Up
702	Mir3082	Up
703	Mir6968	No
1165	Mir3083	No
704	Mir7677	Up
711	Mir6971	No
716	Mir6975	No
717	Mir8094	Up
719	Mir877	No
721	Mir6976	No
1168	Mir7b	Down
722	Mir6977	No
727	Mir133a-1	Down
730	Mir1948	No
1173	Mir187	No
731	Mir1949	Up
732	Mir6979	No
734	Mir6980	No
1177	Mir145a	No
1178	Mir143	No
740	Mir122	Down
741	Mir694	No
742	Mir7219	Down
746	Mir6985	No
747	Mir6986	No
749	Mir6988	No
1184	Mir194-2	No
1185	Mir192	No
750	Mir6989	Up
752	Mir6990	No
753	Mir6991	No
756	Mir6994	Down
757	Mir204	Down
760	Mir101b	Down
1188	Mir3970	Down
761	Mir107	No
763	Mir5114	Up
765	Mir146b	Up
766	Mir6995	No
770	Mir5623	No
771	Mir3086	No
773	Mir500	No
774	Mir501	Up
775	Mir362	Up
776	Mir188	Down
777	Mir532	Up
778	Mir1198	Up
865	Mir221	Up
866	Mir222	Up
868	Mir363	Down
869	Mir92-2	Up
870	Mir19b-2	Down
871	Mir20b	Down
872	Mir18b	Down
873	Mir106a	Down
874	Mir450b	Down
875	Mir450-1	Down
876	Mir450-2	Down
877	Mir542	Down
878	Mir351	No
879	Mir503	No
880	Mir322	Down
783	Mir504	Down
784	Mir505	No
881	Mir743	No
887	Mir741	Up
889	Mir880	Up
892	Mir871	Up
893	Mir470	Up
900	Mir201	Down
901	Mir547	No
785	Mir224	No
786	Mir452	No
789	Mir2137	Down
790	Mir5132	Up
791	Mir7091	Up
795	Mir223	Down
796	Mir676	Down
797	Mir421	No
799	Mir672	Down
905	Mir384	Down
800	Mir325	Down
801	Mir361	No
803	Mir7093	No
909	Mir3475	Down
805	Mir652	No
809	Mir1264	Down
810	Mir1298	Down
814	Mirlet7f-2	Down
815	Mir98	Down
