	gene_name	DE
0	Mir206	Down
1	Mir133b	Down
818	Mir30a	No
2	Mir30c-2	No
4	Mir5103	No
5	Mir6897	No
9	Mir26b	No
824	Mir375	Up
826	Mir5126	Up
13	mmu-mir-3535	No
14	Mir6900	No
15	Mir149	No
20	Mir128-1	Down
21	Mir135b	Up
22	Mir6903	No
23	Mir1231	No
24	Mir181a-1	No
25	Mir181b-1	Up
26	Mir7682	No
829	Mir8114	No
27	Mir488	No
28	Mir1843b	Down
30	Mir199a-2	No
31	Mir214	No
32	Mir6546	Up
34	Mir350	No
36	Mir1981	No
37	Mir664	Down
39	Mir215	No
41	Mir205	No
834	Mir3962	No
42	Mir29b-2	No
43	Mir29c	No
47	Mir669e	No
51	Mir669l	No
54	Mir297a-2	No
56	Mir467c	No
68	Mir467b	No
95	Mir467e	No
97	Mir467d	No
100	Mir669c	No
106	Mir466n	No
107	Mir669o	No
114	Mir669h	Up
115	Mir511	Down
116	Mir7655	Up
120	Mir6996	No
121	Mir126a	No
123	Mir3088	No
124	Mir6997	No
125	Mir6998	No
841	Mir199b	No
131	Mir5128	Up
842	Mir181a-2	No
843	Mir181b-2	Up
134	Mir7224	No
136	Mir10b	Up
847	Mir130a	No
138	Mir1955	No
142	Mir670	No
852	Mir674	No
147	Mir147	No
148	Mir3473g	No
150	Mir103-2	No
856	Mir1953	No
151	Mir5622	No
152	Mir499	Down
153	Mir3474	No
860	Mir296	No
861	Mir298	No
158	Mir3091	No
862	Mir1a-1	Down
863	Mir133a-2	No
161	Mir7007	Down
164	Mir551b	No
166	Mir7008	No
169	Mir15b	No
170	Mir16-2	No
918	Mir92b	Up
175	Mir7669	No
919	Mir190b	No
180	Mir137	No
181	Mir760	Up
923	Mir302b	Up
924	Mir302c	Up
925	Mir302a	Up
926	Mir302d	Up
929	Mir7j	Down
185	Mir186	No
192	Mir3094	No
196	Mir32	No
197	Mir3095	Up
198	Mir455	No
199	Mir491	No
200	Mir31	No
202	Mir872	No
203	Mir101a	No
205	Mir7226	No
207	Mir30c-1	No
216	Mir7017	No
217	Mir5122	No
220	Mir700	No
221	Mir7018	No
222	Mir6399	Up
223	Mir7019	No
226	Mir7021	No
228	Mir5616	No
939	Mir34a	Down
230	Mir429	Up
231	Mir200a	Up
232	Mir200b	Up
233	Mir7658	No
234	Mir879	No
235	Mir671	No
236	Mir1960	No
240	Mir7036b	No
241	Mir3097	No
942	Mir7689	Down
242	Mir218-1	No
244	Mir574	Down
245	Mir7025	No
247	Mir5619	No
248	Mir7026	Up
249	Mir701	No
952	Mir6240	Up
256	Mir7647	No
262	Mir702	Up
264	Mir7036	No
265	Mir6418	No
266	Mir25	No
267	Mir93	Up
268	Mir106b	Up
269	Mir339	No
273	Mir653	Down
274	Mir489	Down
275	Mir592	No
276	Mir129-1	No
957	Mir182	Up
958	Mir96	Up
959	Mir183	Up
277	Mir335	No
960	Mir29a	Down
961	Mir29b-1	Down
278	Mir490	Down
962	Mir148a	No
282	Mir196b	Up
963	Mir8112	No
288	Mir7042	No
290	Mir7043	No
294	Mir141	Up
295	Mir200c	No
297	Mir3098	No
974	Mir291a	Up
976	Mir291b	Up
977	Mir293	Up
978	Mir294	Up
979	Mir295	Up
301	Mir3572	No
302	Mir3099	No
980	Mir5620	No
303	Mir3100	Down
304	Mir330	No
310	Mir3101	No
