gene_id	LB_10.5_NA_1	LB_10.5_NA_2	SM_0_NA_1	SM_0_NA_2	MB_1	MB_2	MT_1	MT_2
ENSMUSG00000099183.1	0	0	1	4	12	4	12	19
ENSMUSG00000065559.1	96	350	298316	447669	70786	15451	2584038	4111798
ENSMUSG00000065480.1	4	25	2556	4440	2433	306	103180	104254
ENSMUSG00000065405.3	18023	20008	17696	20188	223146	132440	46398	64996
ENSMUSG00000065567.1	125	57	51	87	5289	1440	535	812
ENSMUSG00000105982.1	0	0	1	4	31	13	9	25
ENSMUSG00000092852.1	14	1	9	10	0	0	0	0
ENSMUSG00000098752.1	14	6	4	4	76	32	24	19
ENSMUSG00000098680.1	4	1	2	0	6	7	3	4
ENSMUSG00000106081.1	0	0	0	0	0	0	0	0
ENSMUSG00000105211.1	2	3	6	3	47	17	11	17
ENSMUSG00000098443.1	0	0	0	0	1	0	0	3
ENSMUSG00000092705.1	1	5	0	1	0	0	0	0
ENSMUSG00000098487.1	0	0	1	2	8	4	1	2
ENSMUSG00000065468.1	67094	74845	68586	82022	411669	79904	9081	5764
ENSMUSG00000065616.3	3952	3444	160	107	36	13	1	12
ENSMUSG00000099204.2	0	0	0	0	1	0	0	0
ENSMUSG00000093782.1	1	1	0	1	0	1	0	0
ENSMUSG00000093254.1	198	18	3	8	13	2	61	153
ENSMUSG00000098634.1	0	0	0	1	0	0	0	0
ENSMUSG00000104627.1	370	200	88	66	248	276	65	43
ENSMUSG00000084468.1	0	0	0	0	0	0	0	1
ENSMUSG00000098288.1	22	20	8	15	91	24	13	11
ENSMUSG00000065470.1	27075	19887	16581	29169	209047	45094	58682	78869
ENSMUSG00000098997.1	0	2	1	1	32	8	5	4
ENSMUSG00000106302.1	0	1	2	0	6	3	3	1
ENSMUSG00000098344.1	0	1	0	0	0	0	0	0
ENSMUSG00000065520.2	240	159	2090	3597	589	214	732	1048
ENSMUSG00000065435.1	2747	3395	39	33	366	88	121	89
ENSMUSG00000098606.1	0	1	2	10	49	10	30	23
ENSMUSG00000093515.1	1	6	1	2	67	21	21	54
