	gene_id	gene_name
1	ENSMUSG00000065559.1	Mir206
2	ENSMUSG00000065480.1	Mir133b
3	ENSMUSG00000065567.1	Mir30c-2
4	ENSMUSG00000105982.1	Mir6896
5	ENSMUSG00000092852.1	Mir5103
6	ENSMUSG00000098752.1	Mir6897
7	ENSMUSG00000098680.1	Mir6898
12	ENSMUSG00000098487.1	Mir6899
13	ENSMUSG00000098504.1	Mir6351
14	ENSMUSG00000065468.1	Mir26b
17	ENSMUSG00000098611.1	Mir6343
18	ENSMUSG00000099141.1	Mir6352
20	ENSMUSG00000098851.1	Mir6353
22	ENSMUSG00000104627.1	mmu-mir-3535
23	ENSMUSG00000098288.1	Mir6900
24	ENSMUSG00000065470.1	Mir149
25	ENSMUSG00000098997.1	Mir6901
26	ENSMUSG00000106302.1	Mir6902
27	ENSMUSG00000098689.1	Mir6345
29	ENSMUSG00000098344.1	Mir3473f
30	ENSMUSG00000065520.2	Mir128-1
32	ENSMUSG00000065435.1	Mir135b
34	ENSMUSG00000098606.1	Mir6903
35	ENSMUSG00000093515.1	Mir1231
36	ENSMUSG00000065565.1	Mir181a-1
37	ENSMUSG00000065458.1	Mir181b-1
39	ENSMUSG00000106406.1	Mir7682
40	ENSMUSG00000070103.2	Mir488
41	ENSMUSG00000105399.1	Mir1843b
42	ENSMUSG00000089204.1	Mir1927
43	ENSMUSG00000070126.1	Mir199a-2
44	ENSMUSG00000065516.1	Mir214
46	ENSMUSG00000099119.1	Mir6546
47	ENSMUSG00000098316.1	Mir7683
48	ENSMUSG00000065573.1	Mir350
50	ENSMUSG00000098926.1	Mir6904
51	ENSMUSG00000088559.1	Mir1981
52	ENSMUSG00000105770.1	Mir664
53	ENSMUSG00000065581.1	Mir194-1
54	ENSMUSG00000065562.1	Mir215
56	ENSMUSG00000093003.1	Mir3473c
57	ENSMUSG00000065533.1	Mir205
58	ENSMUSG00000065412.3	Mir29b-2
59	ENSMUSG00000065548.1	Mir29c
62	ENSMUSG00000092793.1	Mir466m
63	ENSMUSG00000077972.1	Mir466f-1
64	ENSMUSG00000077038.1	Mir669f
65	ENSMUSG00000080653.1	Mir669e
66	ENSMUSG00000076126.1	Mir669b
68	ENSMUSG00000077834.1	Mir669d
69	ENSMUSG00000077998.1	Mir466f-2
70	ENSMUSG00000076959.1	Mir669l
71	ENSMUSG00000080504.1	Mir669d-2
72	ENSMUSG00000077981.1	Mir466f-3
73	ENSMUSG00000076983.2	Mir297a-2
74	ENSMUSG00000078026.1	Mir466o
76	ENSMUSG00000077049.2	Mir467c
77	ENSMUSG00000106608.1	Mir466b-1
78	ENSMUSG00000076028.1	Mir669a-3
79	ENSMUSG00000094297.1	Mir669k
81	ENSMUSG00000096624.1	Mir467a-1
82	ENSMUSG00000095269.1	Mir466b-8
83	ENSMUSG00000096583.1	Mir669a-1
84	ENSMUSG00000080459.1	Mir669g
86	ENSMUSG00000095340.1	Mir669j
87	ENSMUSG00000096027.1	Mir467a-2
88	ENSMUSG00000104933.1	Mir466e
89	ENSMUSG00000105546.1	Mir669a-4
92	ENSMUSG00000095509.1	Mir467b
93	ENSMUSG00000104561.1	Mir466c-1
94	ENSMUSG00000104734.1	Mir669a-5
97	ENSMUSG00000095198.1	Mir467a-3
98	ENSMUSG00000094659.1	Mir466c-2
99	ENSMUSG00000105330.1	Mir669a-6
103	ENSMUSG00000096492.1	Mir467a-4
104	ENSMUSG00000096239.1	Mir466b-4
105	ENSMUSG00000106027.1	Mir669a-7
109	ENSMUSG00000094159.1	Mir467a-5
110	ENSMUSG00000096113.1	Mir466b-5
111	ENSMUSG00000096134.1	Mir669p-1
115	ENSMUSG00000096587.1	Mir467a-6
117	ENSMUSG00000104652.1	Mir669a-8
121	ENSMUSG00000094688.1	Mir467a-7
122	ENSMUSG00000094261.1	Mir466b-6
123	ENSMUSG00000105182.1	Mir669a-9
127	ENSMUSG00000096512.1	Mir467a-8
128	ENSMUSG00000096360.1	Mir466b-7
129	ENSMUSG00000093900.1	Mir669p-2
133	ENSMUSG00000095222.1	Mir467a-9
134	ENSMUSG00000076966.2	Mir466b-2
135	ENSMUSG00000105365.1	Mir669a-10
141	ENSMUSG00000106488.1	Mir669a-11
145	ENSMUSG00000096894.1	Mir467a-10
146	ENSMUSG00000076994.2	Mir466b-3
147	ENSMUSG00000105783.1	Mir669a-12
149	ENSMUSG00000076948.2	Mir467e
150	ENSMUSG00000077113.2	Mir466p
153	ENSMUSG00000077021.2	Mir467d
154	ENSMUSG00000070099.1	Mir466
156	ENSMUSG00000076976.2	Mir297c
157	ENSMUSG00000076118.1	Mir669c
160	ENSMUSG00000076014.1	Mir669a-2
164	ENSMUSG00000076222.1	Mir297b
165	ENSMUSG00000078031.1	Mir466d
167	ENSMUSG00000089570.1	Mir669m-1
168	ENSMUSG00000088980.1	Mir669m-2
169	ENSMUSG00000077991.1	Mir466n
170	ENSMUSG00000077086.1	Mir669o
171	ENSMUSG00000078025.1	Mir466g
172	ENSMUSG00000077941.1	Mir466h
173	ENSMUSG00000076956.2	Mir297a-3
174	ENSMUSG00000078060.1	Mir466l
175	ENSMUSG00000077954.1	Mir297a-4
177	ENSMUSG00000080657.1	Mir669i
178	ENSMUSG00000080594.1	Mir669h
179	ENSMUSG00000077897.1	Mir511
180	ENSMUSG00000099050.1	Mir7655
181	ENSMUSG00000106199.1	Mir3967
183	ENSMUSG00000099320.1	Mir7664
184	ENSMUSG00000104741.1	Mir3087
185	ENSMUSG00000098548.1	Mir6996
186	ENSMUSG00000065540.1	Mir126a
188	ENSMUSG00000098812.1	Mir7578
189	ENSMUSG00000092832.1	Mir3088
190	ENSMUSG00000098453.1	Mir6997
192	ENSMUSG00000098904.1	Mir6998
193	ENSMUSG00000099075.1	Mir7674
195	ENSMUSG00000093336.1	Mir1954
197	ENSMUSG00000098972.1	Mir8093
198	ENSMUSG00000093280.1	Mir2861
199	ENSMUSG00000105841.1	Mir3960
201	ENSMUSG00000092958.1	Mir5128
204	ENSMUSG00000098660.1	Mir6336
205	ENSMUSG00000092679.1	Mir5129
206	ENSMUSG00000098299.1	Mir7224
207	ENSMUSG00000098734.1	Mir6335
209	ENSMUSG00000065500.3	Mir10b
214	ENSMUSG00000098651.1	Mir6999
215	ENSMUSG00000088639.1	Mir1955
216	ENSMUSG00000099093.1	Mir7000
217	ENSMUSG00000099238.1	Mir7001
219	ENSMUSG00000065511.1	Mir129-2
220	ENSMUSG00000076335.1	Mir670
223	ENSMUSG00000084516.1	Mir1902
226	ENSMUSG00000098464.1	Mir7002
227	ENSMUSG00000088606.1	Mir1951
229	ENSMUSG00000098632.1	Mir7665
232	ENSMUSG00000076309.2	Mir147
233	ENSMUSG00000098896.1	Mir3473g
236	ENSMUSG00000098686.1	Mir6973b
237	ENSMUSG00000065563.1	Mir103-2
239	ENSMUSG00000093746.1	Mir5622
240	ENSMUSG00000076312.1	Mir499
245	ENSMUSG00000093120.1	Mir3474
247	ENSMUSG00000099091.1	Mir7003
248	ENSMUSG00000098489.1	Mir7678
251	ENSMUSG00000105496.1	Mir7004
252	ENSMUSG00000098735.1	Mir7005
253	ENSMUSG00000092827.1	Mir3091
254	ENSMUSG00000098824.1	Mir7006
256	ENSMUSG00000093073.1	Mir124a-2
257	ENSMUSG00000099105.1	Mir7007
258	ENSMUSG00000092695.1	Mir3092
259	ENSMUSG00000092990.1	Mir466q
260	ENSMUSG00000076120.1	Mir551b
261	ENSMUSG00000098315.1	Mir21b
262	ENSMUSG00000098890.1	Mir7008
263	ENSMUSG00000104797.1	Mir1897
265	ENSMUSG00000098808.1	Mir7009
266	ENSMUSG00000065580.2	Mir15b
267	ENSMUSG00000065606.1	Mir16-2
270	ENSMUSG00000098712.1	Mir7010
271	ENSMUSG00000092988.1	Mir3093
272	ENSMUSG00000106493.1	Mir9-1
273	ENSMUSG00000098655.1	Mir7011
274	ENSMUSG00000098397.1	Mir7669
275	ENSMUSG00000099199.1	Mir7012
277	ENSMUSG00000099033.1	Mir7013
278	ENSMUSG00000098737.1	Mir7014
281	ENSMUSG00000098381.1	Mir7225
283	ENSMUSG00000065569.2	Mir137
285	ENSMUSG00000076456.1	Mir760
286	ENSMUSG00000104773.1	Mir7657
290	ENSMUSG00000084564.1	Mir1895
291	ENSMUSG00000088373.3	Mir1956
292	ENSMUSG00000065431.1	Mir186
293	ENSMUSG00000098929.1	Mir6400
295	ENSMUSG00000098310.1	Mir8118
296	ENSMUSG00000077851.1	Mir876
297	ENSMUSG00000078057.1	Mir873a
298	ENSMUSG00000065452.1	Mir207
299	ENSMUSG00000096377.1	Mir5123
302	ENSMUSG00000092862.1	Mir3094
303	ENSMUSG00000092677.1	Mir5106
304	ENSMUSG00000092761.1	Mir5120
308	ENSMUSG00000087844.1	Mir1958
309	ENSMUSG00000065544.1	Mir32
310	ENSMUSG00000093293.1	Mir3095
311	ENSMUSG00000070102.1	Mir455
314	ENSMUSG00000070077.2	Mir491
315	ENSMUSG00000065408.1	Mir31
316	ENSMUSG00000098563.1	Mir6402
317	ENSMUSG00000077921.1	Mir872
320	ENSMUSG00000065451.1	Mir101a
323	ENSMUSG00000076444.1	Mir761
325	ENSMUSG00000098596.1	Mir7226
326	ENSMUSG00000088552.1	Mir1957a
327	ENSMUSG00000065490.1	Mir30c-1
328	ENSMUSG00000065409.1	Mir30e
329	ENSMUSG00000106436.1	Mir7015
330	ENSMUSG00000076271.1	Mir697
331	ENSMUSG00000076119.1	Mir698
332	ENSMUSG00000094403.1	Mir692-2
333	ENSMUSG00000098831.1	Mir7119
334	ENSMUSG00000099070.1	Mir8119
335	ENSMUSG00000098422.1	Mir7016
337	ENSMUSG00000099202.1	Mir7017
338	ENSMUSG00000092745.1	Mir5122
339	ENSMUSG00000104566.1	Mir7227
341	ENSMUSG00000099289.1	Mir6403
342	ENSMUSG00000076123.1	Mir700
343	ENSMUSG00000099134.1	Mir7018
344	ENSMUSG00000098513.1	Mir6399
345	ENSMUSG00000099200.1	Mir7019
347	ENSMUSG00000098569.1	Mir7020
349	ENSMUSG00000089294.1	Mir2139
351	ENSMUSG00000106597.1	Mir7021
352	ENSMUSG00000099043.1	Mir7022
353	ENSMUSG00000093403.1	Mir5616
354	ENSMUSG00000098580.1	Mir7023
356	ENSMUSG00000065427.1	Mir429
357	ENSMUSG00000065400.1	Mir200a
358	ENSMUSG00000065549.3	Mir200b
362	ENSMUSG00000098954.1	Mir7658
366	ENSMUSG00000077896.1	Mir879
368	ENSMUSG00000076387.1	Mir671
370	ENSMUSG00000088113.1	Mir1960
371	ENSMUSG00000093710.1	Mir5625
372	ENSMUSG00000099301.1	Mir3473e
373	ENSMUSG00000098830.1	Mir7024
374	ENSMUSG00000099082.1	Mir7036b
375	ENSMUSG00000093097.1	Mir3097
376	ENSMUSG00000065603.1	Mir218-1
377	ENSMUSG00000099124.1	Mir8117
378	ENSMUSG00000077042.2	Mir574
380	ENSMUSG00000099060.1	Mir7025
381	ENSMUSG00000093061.1	Mir5098
384	ENSMUSG00000093690.1	Mir5619
386	ENSMUSG00000099284.1	Mir7026
387	ENSMUSG00000076163.1	Mir701
388	ENSMUSG00000098731.1	Mir7027
389	ENSMUSG00000098656.1	Mir7028
390	ENSMUSG00000099047.1	Mir7029
391	ENSMUSG00000099254.1	Mir7030
392	ENSMUSG00000099063.1	Mir7031
393	ENSMUSG00000099324.1	Mir8115
394	ENSMUSG00000098951.1	Mir7647
396	ENSMUSG00000098454.1	Mir7032
400	ENSMUSG00000099212.1	Mir7033
401	ENSMUSG00000099197.1	Mir7034
402	ENSMUSG00000099003.1	Mir7035
403	ENSMUSG00000106479.1	Mir721
404	ENSMUSG00000076240.1	Mir702
405	ENSMUSG00000099145.1	Mir8116
406	ENSMUSG00000098624.1	Mir7036
407	ENSMUSG00000098597.1	Mir6418
409	ENSMUSG00000065394.1	Mir25
410	ENSMUSG00000065527.1	Mir93
411	ENSMUSG00000065514.1	Mir106b
412	ENSMUSG00000065593.1	Mir339
413	ENSMUSG00000098574.1	Mir7037
414	ENSMUSG00000098319.1	Mir7038
415	ENSMUSG00000098822.1	Mir7039
416	ENSMUSG00000076357.2	Mir653
417	ENSMUSG00000070107.1	Mir489
420	ENSMUSG00000076067.1	Mir592
421	ENSMUSG00000065469.1	Mir129-1
425	ENSMUSG00000065501.1	Mir335
427	ENSMUSG00000070075.1	Mir490
428	ENSMUSG00000098285.1	Mir7670
429	ENSMUSG00000076060.1	Mir704
430	ENSMUSG00000099221.1	Mir6371
431	ENSMUSG00000065443.1	Mir196b
434	ENSMUSG00000099035.1	Mir7040
435	ENSMUSG00000099045.1	Mir6374
436	ENSMUSG00000076012.1	Mir705
439	ENSMUSG00000098531.1	Mir7041
443	ENSMUSG00000105697.1	Mir7661
445	ENSMUSG00000106581.1	Mir7042
446	ENSMUSG00000099163.1	Mir7660
447	ENSMUSG00000098334.1	Mir7043
449	ENSMUSG00000098583.1	Mir7044
450	ENSMUSG00000076217.1	Mir706
453	ENSMUSG00000106580.1	Mir7231
454	ENSMUSG00000065474.1	Mir141
455	ENSMUSG00000065462.3	Mir200c
456	ENSMUSG00000098762.1	Mir7045
457	ENSMUSG00000093157.1	Mir3098
458	ENSMUSG00000098856.1	Mir8113
460	ENSMUSG00000098359.1	Mir7649
465	ENSMUSG00000104747.1	Mir292b
467	ENSMUSG00000093290.1	Mir3572
473	ENSMUSG00000092815.1	Mir3099
474	ENSMUSG00000092659.1	Mir3100
475	ENSMUSG00000065543.1	Mir330
476	ENSMUSG00000076315.2	Mir343
478	ENSMUSG00000098802.1	Mir7046
479	ENSMUSG00000099258.1	Mir7047
480	ENSMUSG00000098441.1	Mir6537
481	ENSMUSG00000098325.1	Mir7048
483	ENSMUSG00000093348.1	Mir3101
485	ENSMUSG00000080533.1	Mir1191
486	ENSMUSG00000098558.1	Mir7049
488	ENSMUSG00000089219.1	Mir1963
489	ENSMUSG00000089139.1	Mir1964
491	ENSMUSG00000098783.1	Mir7050
492	ENSMUSG00000099210.1	Mir7051
494	ENSMUSG00000098661.1	Mir7052
495	ENSMUSG00000099330.1	Mir7053
496	ENSMUSG00000076051.1	Mir707
497	ENSMUSG00000098839.1	Mir7054
498	ENSMUSG00000105913.1	Mir5121
500	ENSMUSG00000106470.1	Mir7055
502	ENSMUSG00000098960.1	Mir7056
503	ENSMUSG00000099203.1	Mir6389
506	ENSMUSG00000095292.1	Mir344d-3
508	ENSMUSG00000077869.1	Mir344e
509	ENSMUSG00000094173.1	Mir344h-1
510	ENSMUSG00000096189.1	Mir344h-2
512	ENSMUSG00000092921.1	Mir344b
513	ENSMUSG00000077107.1	Mir344c
514	ENSMUSG00000065568.1	Mir344
515	ENSMUSG00000093187.1	Mir344-2
516	ENSMUSG00000065585.1	Mir211
518	ENSMUSG00000098353.1	Mir7057
519	ENSMUSG00000105381.1	Mir7234
520	ENSMUSG00000093238.1	Mir9-3
521	ENSMUSG00000104618.1	Mir1839
525	ENSMUSG00000076143.1	Mir708
526	ENSMUSG00000099030.1	Mir6394
527	ENSMUSG00000065571.1	Mir326
528	ENSMUSG00000093296.1	Mir3102
529	ENSMUSG00000065446.1	Mir139
538	ENSMUSG00000099017.1	Mir7058
539	ENSMUSG00000098540.1	Mir7059
540	ENSMUSG00000098267.1	Mir7060
542	ENSMUSG00000093215.1	Mir3103
544	ENSMUSG00000104914.1	Mir7061
546	ENSMUSG00000088141.1	Mir1962
547	ENSMUSG00000105165.1	mmu-mir-7686
548	ENSMUSG00000065502.1	Mir202
549	ENSMUSG00000099092.1	Mir7062
550	ENSMUSG00000098759.1	Mir7063
551	ENSMUSG00000092652.1	Mir3104
552	ENSMUSG00000076275.1	Mir675
553	ENSMUSG00000070140.1	Mir483
555	ENSMUSG00000098593.1	Mir7064
556	ENSMUSG00000093221.1	Mir3105
557	ENSMUSG00000098917.1	Mir7654
559	ENSMUSG00000104958.1	Mir7238
563	ENSMUSG00000098532.1	Mir7065
564	ENSMUSG00000088054.1	Mir1968
567	ENSMUSG00000093142.1	Mir3106
569	ENSMUSG00000070084.3	Mir486
570	ENSMUSG00000106471.1	Mir3107
571	ENSMUSG00000099142.1	Mir8108
574	ENSMUSG00000065457.3	Mir383
575	ENSMUSG00000098431.1	Mir7666
580	ENSMUSG00000099042.1	Mir7066
581	ENSMUSG00000098710.1	Mir7067
583	ENSMUSG00000098976.1	Mir6769b
584	ENSMUSG00000099079.1	Mir7068
587	ENSMUSG00000098465.1	Mir1668
588	ENSMUSG00000080665.1	Mir1199
589	ENSMUSG00000076144.1	Mir709
591	ENSMUSG00000076338.1	Mir181d
592	ENSMUSG00000065483.2	Mir181c
593	ENSMUSG00000098331.1	Mir7069
595	ENSMUSG00000099076.1	Mir7070
597	ENSMUSG00000099080.1	Mir7071
598	ENSMUSG00000065512.3	Mir138-2
599	ENSMUSG00000098511.1	Mir7072
600	ENSMUSG00000106145.1	Mir7073
603	ENSMUSG00000089432.1	Mir1966
604	ENSMUSG00000099131.1	Mir7074
605	ENSMUSG00000098671.1	Mir7075
606	ENSMUSG00000065439.1	Mir140
607	ENSMUSG00000093241.1	Mir3108
610	ENSMUSG00000093087.1	Mir3473d
611	ENSMUSG00000099129.1	Mir7076
612	ENSMUSG00000099062.1	Mir7077
613	ENSMUSG00000098483.1	Mir7078
614	ENSMUSG00000098280.1	Mir7687
615	ENSMUSG00000099140.1	Mir7237
616	ENSMUSG00000098550.1	Mir7079
617	ENSMUSG00000098582.1	Mir7080
618	ENSMUSG00000088414.1	Mir1967
622	ENSMUSG00000098500.1	Mir6396
627	ENSMUSG00000084523.1	Mir1903
629	ENSMUSG00000093615.1	Mir5618
634	ENSMUSG00000105847.1	mmu-mir-7650
638	ENSMUSG00000099147.1	Mir7081
639	ENSMUSG00000084663.1	Mir1900
640	ENSMUSG00000098907.1	Mir7082
642	ENSMUSG00000098473.1	Mir7083
643	ENSMUSG00000098646.1	Mir7084
646	ENSMUSG00000093011.1	Mir100
647	ENSMUSG00000092770.1	Mirlet7a-2
648	ENSMUSG00000093354.1	Mir125b-1
654	ENSMUSG00000099309.1	Mir7085
655	ENSMUSG00000098361.1	Mir7086
656	ENSMUSG00000098327.1	Mir7087
657	ENSMUSG00000093441.1	Mir5710
659	ENSMUSG00000092696.1	Mir5133
662	ENSMUSG00000076379.2	Mir190a
663	ENSMUSG00000093042.1	Mir3109
668	ENSMUSG00000098251.1	Mir7656
669	ENSMUSG00000098521.1	Mir7243
671	ENSMUSG00000065407.1	Mir135a-1
672	ENSMUSG00000065440.1	Mirlet7g
674	ENSMUSG00000098787.1	Mir7088
676	ENSMUSG00000105497.1	Mir191
677	ENSMUSG00000065579.1	Mir425
679	ENSMUSG00000076142.1	Mir711
680	ENSMUSG00000098490.1	Mir7089
681	ENSMUSG00000099275.1	Mir8107
682	ENSMUSG00000065441.2	Mir128-2
683	ENSMUSG00000065513.1	Mir26a-1
684	ENSMUSG00000106193.1	Mir7090
685	ENSMUSG00000098922.1	Mir8106
686	ENSMUSG00000065414.1	Mir138-1
688	ENSMUSG00000093060.1	Mir5104
689	ENSMUSG00000098714.1	Mir7663
690	ENSMUSG00000099181.1	Mir6905
693	ENSMUSG00000089260.1	Mir1929
696	ENSMUSG00000105468.1	Mir6906
699	ENSMUSG00000099185.1	Mir7662
700	ENSMUSG00000098817.1	Mir6409
701	ENSMUSG00000076068.1	Mir678
702	ENSMUSG00000089424.1	Mir1930
704	ENSMUSG00000098885.1	Mir7659
705	ENSMUSG00000098376.1	Mir6907
