File.accession,File.assembly,Experiment.accession,Assay,Donor.s.,Biosample.term.id,Biosample.term.name,Age,Sex,Tissue_short,Age_short,Sex_short,Rep_short,Sample,tissue_long,age_long,sample_mrna,ENCODE_year,Biosample.type,Biosample.organism,Biological.replicate.s.,Technical.replicate.s.,md5sum,Donor_sample
ENCFF784UWQ,mm10,ENCSR808LQW,microRNA-seq,/mouse-donors/ENCDO321TZV/,EFO:0001098,C2C12,0hr,Female,MB,NA,F,1,MB_1,C2C12,NA,C2C12_NA_f_1,3,cell line,Mus musculus,1,1_1,5d85bdf0b479edf7f8852f52f7f565bb,/mouse-donors/ENCDO321TZV/_MB_1
ENCFF094EFP,mm10,ENCSR808LQW,microRNA-seq,/mouse-donors/ENCDO321TZV/,EFO:0001098,C2C12,0hr,Female,MB,NA,F,2,MB_2,C2C12,NA,C2C12_NA_f_2,3,cell line,Mus musculus,2,2_1,8658bf293466645184527e25d5964a38,/mouse-donors/ENCDO321TZV/_MB_2
ENCFF810XKL,mm10,ENCSR026XXQ,microRNA-seq,/mouse-donors/ENCDO509HIY/,UBERON:0001388,gastrocnemius,PND_04,Female,G,4,F,1,G_4_F_1,gastroc,PND04,gastroc_PND04_f_1,4,tissue,Mus musculus,1,1_1,6c91e4ab8a343d3408d2c06cd5adbe97,/mouse-donors/ENCDO509HIY/_G_4_F_1
ENCFF641TJV,mm10,ENCSR026XXQ,microRNA-seq,/mouse-donors/ENCDO509HIY/,UBERON:0001388,gastrocnemius,PND_04,Female,G,4,F,2,G_4_F_2,gastroc,PND04,gastroc_PND04_f_2,4,tissue,Mus musculus,2,2_1,1ccda2584ec741aa49e8bddf4844fddd,/mouse-donors/ENCDO509HIY/_G_4_F_2
ENCFF859KXI,mm10,ENCSR815DQP,microRNA-seq,/mouse-donors/ENCDO509HIY/,UBERON:0001388,gastrocnemius,PND_04,Male,G,4,M,1,G_4_M_1,gastroc,PND04,gastroc_PND04_m_1,4,tissue,Mus musculus,1,1_1,bd4adca69afbee5df6e2d30c5bcc0c55,/mouse-donors/ENCDO509HIY/_G_4_M_1
ENCFF286MEN,mm10,ENCSR815DQP,microRNA-seq,/mouse-donors/ENCDO509HIY/,UBERON:0001388,gastrocnemius,PND_04,Male,G,4,M,2,G_4_M_2,gastroc,PND04,gastroc_PND04_m_2,4,tissue,Mus musculus,2,2_1,c673a56f79ffcc5b1a1d5c06a7d99d60,/mouse-donors/ENCDO509HIY/_G_4_M_2
ENCFF256FTO,mm10,ENCSR037MYU,microRNA-seq,/mouse-donors/ENCDO509HIY/,UBERON:0001388,gastrocnemius,PND_10,Female,G,10,F,1,G_10_F_1,gastroc,PND10,gastroc_PND10_f_1,4,tissue,Mus musculus,1,1_1,08d9246f6f1b60e4294a8ec1325e22c4,/mouse-donors/ENCDO509HIY/_G_10_F_1
ENCFF841RXZ,mm10,ENCSR037MYU,microRNA-seq,/mouse-donors/ENCDO509HIY/,UBERON:0001388,gastrocnemius,PND_10,Female,G,10,F,2,G_10_F_2,gastroc,PND10,gastroc_PND10_f_2,4,tissue,Mus musculus,2,2_1,383909da57268107413da4b1b5fa3552,/mouse-donors/ENCDO509HIY/_G_10_F_2
ENCFF782ZKC,mm10,ENCSR515OMM,microRNA-seq,/mouse-donors/ENCDO509HIY/,UBERON:0001388,gastrocnemius,PND_10,Male,G,10,M,1,G_10_M_1,gastroc,PND10,gastroc_PND10_m_1,4,tissue,Mus musculus,1,1_1,f1e084ff398faba54fd815387e94d32e,/mouse-donors/ENCDO509HIY/_G_10_M_1
ENCFF224PRR,mm10,ENCSR515OMM,microRNA-seq,/mouse-donors/ENCDO509HIY/,UBERON:0001388,gastrocnemius,PND_10,Male,G,10,M,2,G_10_M_2,gastroc,PND10,gastroc_PND10_m_2,4,tissue,Mus musculus,2,2_1,7614971daeeaebf9484e1310a5599bc7,/mouse-donors/ENCDO509HIY/_G_10_M_2
ENCFF644DNJ,mm10,ENCSR501DNZ,microRNA-seq,/mouse-donors/ENCDO509HIY/,UBERON:0001388,gastrocnemius,PND_14,Female,G,14,F,1,G_14_F_1,gastroc,PND14,gastroc_PND14_f_1,4,tissue,Mus musculus,1,1_1,4b311488b1d0c1438976ddc912d51e56,/mouse-donors/ENCDO509HIY/_G_14_F_1
ENCFF912ODK,mm10,ENCSR501DNZ,microRNA-seq,/mouse-donors/ENCDO509HIY/,UBERON:0001388,gastrocnemius,PND_14,Female,G,14,F,2,G_14_F_2,gastroc,PND14,gastroc_PND14_f_2,4,tissue,Mus musculus,2,2_1,904610a175d097a7455c0f5a07066014,/mouse-donors/ENCDO509HIY/_G_14_F_2
ENCFF775ESU,mm10,ENCSR504LWH,microRNA-seq,/mouse-donors/ENCDO509HIY/,UBERON:0001388,gastrocnemius,PND_14,Male,G,14,M,1,G_14_M_1,gastroc,PND14,gastroc_PND14_m_1,4,tissue,Mus musculus,1,1_1,34981b30011819dbc4c69e466a65ad70,/mouse-donors/ENCDO509HIY/_G_14_M_1
ENCFF251GDX,mm10,ENCSR504LWH,microRNA-seq,/mouse-donors/ENCDO509HIY/,UBERON:0001388,gastrocnemius,PND_14,Male,G,14,M,2,G_14_M_2,gastroc,PND14,gastroc_PND14_m_2,4,tissue,Mus musculus,2,2_1,040789ea4b7aa952c9e73755a9bab647,/mouse-donors/ENCDO509HIY/_G_14_M_2
ENCFF243ZES,mm10,ENCSR143LTW,microRNA-seq,/mouse-donors/ENCDO509HIY/,UBERON:0001388,gastrocnemius,PND_25,Female,G,25,F,1,G_25_F_1,gastroc,PND25,gastroc_PND25_f_1,4,tissue,Mus musculus,1,1_1,a6cd77a5033aab92971e5bc8fb13f732,/mouse-donors/ENCDO509HIY/_G_25_F_1
ENCFF953WQJ,mm10,ENCSR143LTW,microRNA-seq,/mouse-donors/ENCDO509HIY/,UBERON:0001388,gastrocnemius,PND_25,Female,G,25,F,2,G_25_F_2,gastroc,PND25,gastroc_PND25_f_2,4,tissue,Mus musculus,2,2_1,02f689d39f0312b420124f0ca2f38dca,/mouse-donors/ENCDO509HIY/_G_25_F_2
ENCFF744KFE,mm10,ENCSR658KLA,microRNA-seq,/mouse-donors/ENCDO509HIY/,UBERON:0001388,gastrocnemius,PND_25,Male,G,25,M,1,G_25_M_1,gastroc,PND25,gastroc_PND25_m_1,4,tissue,Mus musculus,1,1_1,880a12e546efd297e3e31f57caadfb64,/mouse-donors/ENCDO509HIY/_G_25_M_1
ENCFF383BPF,mm10,ENCSR658KLA,microRNA-seq,/mouse-donors/ENCDO509HIY/,UBERON:0001388,gastrocnemius,PND_25,Male,G,25,M,2,G_25_M_2,gastroc,PND25,gastroc_PND25_m_2,4,tissue,Mus musculus,2,2_1,9876ae34b3709576a53c15e74ca25636,/mouse-donors/ENCDO509HIY/_G_25_M_2
ENCFF770MFM,mm10,ENCSR024WYL,microRNA-seq,/mouse-donors/ENCDO509HIY/,UBERON:0001388,gastrocnemius,PND_36,Female,G,36,F,1,G_36_F_1,gastroc,PND36,gastroc_PND36_f_1,4,tissue,Mus musculus,1,1_1,468478bb47670c7b4e0944a89069ce0e,/mouse-donors/ENCDO509HIY/_G_36_F_1
ENCFF887WXS,mm10,ENCSR024WYL,microRNA-seq,/mouse-donors/ENCDO509HIY/,UBERON:0001388,gastrocnemius,PND_36,Female,G,36,F,2,G_36_F_2,gastroc,PND36,gastroc_PND36_f_2,4,tissue,Mus musculus,2,2_1,90d8f0d9cbc9a68ba92c1dc2fc22680a,/mouse-donors/ENCDO509HIY/_G_36_F_2
