gene_id,dynamicColors,moduleColors,moduleLabels,gene_name,go_id
ENSMUSG00000065470,silver,silver,4.0,Mir149,miRNA
ENSMUSG00000105399,silver,silver,4.0,Mir1843b,miRNA
ENSMUSG00000077897,silver,silver,4.0,Mir511,miRNA
ENSMUSG00000099075,silver,silver,4.0,Mir7674,miRNA
ENSMUSG00000065423,silver,silver,4.0,Mir181a-2,miRNA
ENSMUSG00000098896,silver,silver,4.0,Mir3473g,miRNA
ENSMUSG00000092990,silver,silver,4.0,Mir466q,miRNA
ENSMUSG00000077996,silver,silver,4.0,Mir190b,miRNA
ENSMUSG00000098569,silver,silver,4.0,Mir7020,miRNA
ENSMUSG00000099063,silver,silver,4.0,Mir7031,miRNA
ENSMUSG00000098951,silver,silver,4.0,Mir7647,miRNA
ENSMUSG00000099003,silver,silver,4.0,Mir7035,miRNA
ENSMUSG00000099145,silver,silver,4.0,Mir8116,miRNA
ENSMUSG00000093290,silver,silver,4.0,Mir3572,miRNA
ENSMUSG00000089219,silver,silver,4.0,Mir1963,miRNA
ENSMUSG00000076051,silver,silver,4.0,Mir707,miRNA
ENSMUSG00000104618,silver,silver,4.0,Mir1839,miRNA
ENSMUSG00000076042,silver,silver,4.0,Mir710,miRNA
ENSMUSG00000098823,silver,silver,4.0,Mir8111,miRNA
ENSMUSG00000098280,silver,silver,4.0,Mir7687,miRNA
ENSMUSG00000093011,silver,silver,4.0,Mir100,miRNA
ENSMUSG00000087993,silver,silver,4.0,Mir1982,miRNA
ENSMUSG00000092870,silver,silver,4.0,Mir3061,miRNA
ENSMUSG00000065411,silver,silver,4.0,Mir195a,miRNA
ENSMUSG00000065529,silver,silver,4.0,Mir22,miRNA
ENSMUSG00000098704,silver,silver,4.0,Mir6934,miRNA
ENSMUSG00000099058,silver,silver,4.0,Mir6943,miRNA
ENSMUSG00000098719,silver,silver,4.0,Mir7212,miRNA
ENSMUSG00000092868,silver,silver,4.0,Mir5113,miRNA
ENSMUSG00000098882,silver,silver,4.0,Mir6392,miRNA
ENSMUSG00000065449,silver,silver,4.0,Mir365-1,miRNA
ENSMUSG00000065530,silver,silver,4.0,Mir99a,miRNA
ENSMUSG00000080342,silver,silver,4.0,,
ENSMUSG00000093118,silver,silver,4.0,Mir3083,miRNA
ENSMUSG00000099006,silver,silver,4.0,Mir6974,miRNA
ENSMUSG00000099290,silver,silver,4.0,Mir6985,miRNA
ENSMUSG00000065536,silver,silver,4.0,Mir98,miRNA
