gene_id,dynamicColors,moduleColors,moduleLabels,gene_name,go_id
ENSMUSG00000099183,black,black,0.0,,
ENSMUSG00000065559,black,black,0.0,Mir206,miRNA
ENSMUSG00000065480,black,black,0.0,Mir133b,miRNA
ENSMUSG00000065567,black,black,0.0,Mir30c-2,miRNA
ENSMUSG00000106081,black,black,0.0,,
ENSMUSG00000104627,black,black,0.0,Mir3535,miRNA
ENSMUSG00000065520,black,black,0.0,Mir128-1,miRNA
ENSMUSG00000098606,black,black,0.0,Mir6903,miRNA
ENSMUSG00000093515,black,black,0.0,Mir1231,miRNA
ENSMUSG00000099227,black,black,0.0,Mir8114,miRNA
ENSMUSG00000105399,black,black,0.0,Mir1843b,miRNA
ENSMUSG00000070126,black,black,0.0,Mir199a-2,miRNA
ENSMUSG00000065573,black,black,0.0,Mir350,miRNA
ENSMUSG00000088559,black,black,0.0,Mir1981,miRNA
ENSMUSG00000105770,black,black,0.0,Mir664,miRNA
ENSMUSG00000065581,black,black,0.0,Mir194-1,miRNA
ENSMUSG00000065562,black,black,0.0,Mir215,miRNA
ENSMUSG00000092633,black,black,0.0,Mir3962,miRNA
ENSMUSG00000065412,black,black,0.0,Mir29b-2,miRNA
ENSMUSG00000065548,black,black,0.0,Mir29c,miRNA
ENSMUSG00000076983,black,black,0.0,Mir297a-2,miRNA
ENSMUSG00000077941,black,black,0.0,Mir466h,miRNA
ENSMUSG00000077897,black,black,0.0,Mir511,miRNA
ENSMUSG00000098548,black,black,0.0,Mir6996,miRNA
ENSMUSG00000098453,black,black,0.0,Mir6997,miRNA
ENSMUSG00000093091,black,black,0.0,Mir3089,miRNA
ENSMUSG00000098904,black,black,0.0,Mir6998,miRNA
ENSMUSG00000098299,black,black,0.0,Mir7224,miRNA
ENSMUSG00000098651,black,black,0.0,Mir6999,miRNA
ENSMUSG00000076376,black,black,0.0,Mir674,miRNA
ENSMUSG00000088491,black,black,0.0,Mir1953,miRNA
ENSMUSG00000093746,black,black,0.0,Mir5622,miRNA
ENSMUSG00000076312,black,black,0.0,Mir499,miRNA
ENSMUSG00000098588,black,black,0.0,Mir6340,miRNA
ENSMUSG00000070144,black,black,0.0,Mir1a-1,miRNA
ENSMUSG00000065460,black,black,0.0,Mir133a-2,miRNA
ENSMUSG00000099105,black,black,0.0,Mir7007,miRNA
ENSMUSG00000065580,black,black,0.0,Mir15b,miRNA
ENSMUSG00000098397,black,black,0.0,Mir7669,miRNA
ENSMUSG00000077996,black,black,0.0,Mir190b,miRNA
ENSMUSG00000099199,black,black,0.0,Mir7012,miRNA
ENSMUSG00000098737,black,black,0.0,Mir7014,miRNA
ENSMUSG00000099169,black,black,0.0,Mir7j,miRNA
ENSMUSG00000093293,black,black,0.0,Mir3095,miRNA
ENSMUSG00000070102,black,black,0.0,Mir455,miRNA
ENSMUSG00000065408,black,black,0.0,Mir31,miRNA
ENSMUSG00000099202,black,black,0.0,Mir7017,miRNA
ENSMUSG00000076123,black,black,0.0,Mir700,miRNA
ENSMUSG00000099200,black,black,0.0,Mir7019,miRNA
ENSMUSG00000093403,black,black,0.0,Mir5616,miRNA
ENSMUSG00000065493,black,black,0.0,Mir34a,miRNA
ENSMUSG00000098830,black,black,0.0,Mir7024,miRNA
ENSMUSG00000098884,black,black,0.0,Mir7689,miRNA
ENSMUSG00000077042,black,black,0.0,Mir574,miRNA
ENSMUSG00000098454,black,black,0.0,Mir7032,miRNA
ENSMUSG00000099197,black,black,0.0,Mir7034,miRNA
ENSMUSG00000099003,black,black,0.0,Mir7035,miRNA
ENSMUSG00000098597,black,black,0.0,Mir6418,miRNA
ENSMUSG00000065394,black,black,0.0,Mir25,miRNA
ENSMUSG00000076357,black,black,0.0,Mir653,miRNA
ENSMUSG00000070107,black,black,0.0,Mir489,miRNA
ENSMUSG00000065469,black,black,0.0,Mir129-1,miRNA
ENSMUSG00000076361,black,black,0.0,Mir182,miRNA
ENSMUSG00000065619,black,black,0.0,Mir183,miRNA
