gene_id,dynamicColors,moduleColors,moduleLabels,gene_name,go_id
ENSMUSG00000065405,darkgrey,darkgrey,1.0,Mir30a,miRNA
ENSMUSG00000092852,darkgrey,darkgrey,1.0,Mir5103,miRNA
ENSMUSG00000098752,darkgrey,darkgrey,1.0,Mir6897,miRNA
ENSMUSG00000105211,darkgrey,darkgrey,1.0,,
ENSMUSG00000098443,darkgrey,darkgrey,1.0,Mir7681,miRNA
ENSMUSG00000092705,darkgrey,darkgrey,1.0,,
ENSMUSG00000098487,darkgrey,darkgrey,1.0,Mir6899,miRNA
ENSMUSG00000065468,darkgrey,darkgrey,1.0,Mir26b,miRNA
ENSMUSG00000065616,darkgrey,darkgrey,1.0,Mir375,miRNA
ENSMUSG00000093254,darkgrey,darkgrey,1.0,Mir5126,miRNA
ENSMUSG00000098288,darkgrey,darkgrey,1.0,Mir6900,miRNA
ENSMUSG00000065435,darkgrey,darkgrey,1.0,Mir135b,miRNA
ENSMUSG00000065565,darkgrey,darkgrey,1.0,Mir181a-1,miRNA
ENSMUSG00000065458,darkgrey,darkgrey,1.0,Mir181b-1,miRNA
ENSMUSG00000070103,darkgrey,darkgrey,1.0,Mir488,miRNA
ENSMUSG00000089204,darkgrey,darkgrey,1.0,Mir1927,miRNA
ENSMUSG00000065516,darkgrey,darkgrey,1.0,Mir214,miRNA
ENSMUSG00000088246,darkgrey,darkgrey,1.0,,
ENSMUSG00000099119,darkgrey,darkgrey,1.0,,
ENSMUSG00000065533,darkgrey,darkgrey,1.0,Mir205,miRNA
ENSMUSG00000077038,darkgrey,darkgrey,1.0,Mir669f,miRNA
ENSMUSG00000080653,darkgrey,darkgrey,1.0,Mir669e,miRNA
ENSMUSG00000076959,darkgrey,darkgrey,1.0,Mir669l,miRNA
ENSMUSG00000077049,darkgrey,darkgrey,1.0,Mir467c,miRNA
ENSMUSG00000096624,darkgrey,darkgrey,1.0,,
ENSMUSG00000095509,darkgrey,darkgrey,1.0,,
ENSMUSG00000076994,darkgrey,darkgrey,1.0,Mir466b-3,miRNA
ENSMUSG00000076948,darkgrey,darkgrey,1.0,Mir467e,miRNA
ENSMUSG00000077021,darkgrey,darkgrey,1.0,Mir467d,miRNA
ENSMUSG00000070099,darkgrey,darkgrey,1.0,Mir466,miRNA
ENSMUSG00000076118,darkgrey,darkgrey,1.0,Mir669c,miRNA
ENSMUSG00000092697,darkgrey,darkgrey,1.0,,
ENSMUSG00000077991,darkgrey,darkgrey,1.0,Mir466n,miRNA
ENSMUSG00000077086,darkgrey,darkgrey,1.0,Mir669o,miRNA
ENSMUSG00000078060,darkgrey,darkgrey,1.0,Mir466l,miRNA
ENSMUSG00000080594,darkgrey,darkgrey,1.0,Mir669h,miRNA
ENSMUSG00000099050,darkgrey,darkgrey,1.0,Mir7655,miRNA
ENSMUSG00000065540,darkgrey,darkgrey,1.0,Mir126a,miRNA
ENSMUSG00000092832,darkgrey,darkgrey,1.0,Mir3088,miRNA
ENSMUSG00000099075,darkgrey,darkgrey,1.0,Mir7674,miRNA
ENSMUSG00000092765,darkgrey,darkgrey,1.0,Mir3154,miRNA
ENSMUSG00000092807,darkgrey,darkgrey,1.0,Mir199b,miRNA
ENSMUSG00000092958,darkgrey,darkgrey,1.0,Mir5128,miRNA
ENSMUSG00000065423,darkgrey,darkgrey,1.0,Mir181a-2,miRNA
ENSMUSG00000065578,darkgrey,darkgrey,1.0,Mir181b-2,miRNA
ENSMUSG00000092679,darkgrey,darkgrey,1.0,Mir5129,miRNA
ENSMUSG00000065500,darkgrey,darkgrey,1.0,Mir10b,miRNA
ENSMUSG00000065484,darkgrey,darkgrey,1.0,Mir130a,miRNA
ENSMUSG00000088639,darkgrey,darkgrey,1.0,Mir1955,miRNA
ENSMUSG00000076335,darkgrey,darkgrey,1.0,Mir670,miRNA
ENSMUSG00000088606,darkgrey,darkgrey,1.0,Mir1951,miRNA
ENSMUSG00000098632,darkgrey,darkgrey,1.0,Mir7665,miRNA
