gene_id,dynamicColors,moduleColors,moduleLabels,gene_name,go_id
ENSMUSG00000105982,gainsboro,gainsboro,3.0,Mir6896,miRNA
ENSMUSG00000105211,gainsboro,gainsboro,3.0,,
ENSMUSG00000093782,gainsboro,gainsboro,3.0,,
ENSMUSG00000098634,gainsboro,gainsboro,3.0,Mir8096,miRNA
ENSMUSG00000065520,gainsboro,gainsboro,3.0,Mir128-1,miRNA
ENSMUSG00000065581,gainsboro,gainsboro,3.0,Mir194-1,miRNA
ENSMUSG00000065562,gainsboro,gainsboro,3.0,Mir215,miRNA
ENSMUSG00000093003,gainsboro,gainsboro,3.0,Mir3473c,miRNA
ENSMUSG00000080405,gainsboro,gainsboro,3.0,,
ENSMUSG00000077104,gainsboro,gainsboro,3.0,,
ENSMUSG00000099320,gainsboro,gainsboro,3.0,Mir7664,miRNA
ENSMUSG00000065540,gainsboro,gainsboro,3.0,Mir126a,miRNA
ENSMUSG00000076364,gainsboro,gainsboro,3.0,,
ENSMUSG00000093280,gainsboro,gainsboro,3.0,Mir2861,miRNA
ENSMUSG00000092679,gainsboro,gainsboro,3.0,Mir5129,miRNA
ENSMUSG00000098651,gainsboro,gainsboro,3.0,Mir6999,miRNA
ENSMUSG00000099238,gainsboro,gainsboro,3.0,Mir7001,miRNA
ENSMUSG00000076309,gainsboro,gainsboro,3.0,Mir147,miRNA
ENSMUSG00000098686,gainsboro,gainsboro,3.0,Mir6973b,miRNA
ENSMUSG00000076312,gainsboro,gainsboro,3.0,Mir499,miRNA
ENSMUSG00000105496,gainsboro,gainsboro,3.0,Mir7004,miRNA
ENSMUSG00000098735,gainsboro,gainsboro,3.0,Mir7005,miRNA
ENSMUSG00000098944,gainsboro,gainsboro,3.0,Mir8120,miRNA
ENSMUSG00000093226,gainsboro,gainsboro,3.0,,
ENSMUSG00000098712,gainsboro,gainsboro,3.0,Mir7010,miRNA
ENSMUSG00000092988,gainsboro,gainsboro,3.0,Mir3093,miRNA
ENSMUSG00000099199,gainsboro,gainsboro,3.0,Mir7012,miRNA
ENSMUSG00000099033,gainsboro,gainsboro,3.0,Mir7013,miRNA
