gene_id,dynamicColors,moduleColors,moduleLabels,gene_name,go_id
ENSMUSG00000105982,silver,silver,2.0,Mir6896,miRNA
ENSMUSG00000098680,silver,silver,2.0,Mir6898,miRNA
ENSMUSG00000065470,silver,silver,2.0,Mir149,miRNA
ENSMUSG00000098997,silver,silver,2.0,Mir6901,miRNA
ENSMUSG00000106406,silver,silver,2.0,Mir7682,miRNA
ENSMUSG00000098926,silver,silver,2.0,Mir6904,miRNA
ENSMUSG00000104741,silver,silver,2.0,Mir3087,miRNA
ENSMUSG00000098765,silver,silver,2.0,Mir7685,miRNA
ENSMUSG00000093120,silver,silver,2.0,Mir3474,miRNA
ENSMUSG00000065410,silver,silver,2.0,Mir298,miRNA
ENSMUSG00000098735,silver,silver,2.0,Mir7005,miRNA
ENSMUSG00000092827,silver,silver,2.0,Mir3091,miRNA
ENSMUSG00000098890,silver,silver,2.0,Mir7008,miRNA
ENSMUSG00000098808,silver,silver,2.0,Mir7009,miRNA
ENSMUSG00000098944,silver,silver,2.0,Mir8120,miRNA
ENSMUSG00000099033,silver,silver,2.0,Mir7013,miRNA
ENSMUSG00000088373,silver,silver,2.0,Mir1956,miRNA
ENSMUSG00000106355,silver,silver,2.0,,
ENSMUSG00000070077,silver,silver,2.0,Mir491,miRNA
ENSMUSG00000098596,silver,silver,2.0,Mir7226,miRNA
ENSMUSG00000092745,silver,silver,2.0,Mir5122,miRNA
ENSMUSG00000099134,silver,silver,2.0,Mir7018,miRNA
ENSMUSG00000088113,silver,silver,2.0,Mir1960,miRNA
ENSMUSG00000099060,silver,silver,2.0,Mir7025,miRNA
ENSMUSG00000098343,silver,silver,2.0,Mir6240,miRNA
ENSMUSG00000099144,silver,silver,2.0,,
ENSMUSG00000099212,silver,silver,2.0,Mir7033,miRNA
ENSMUSG00000098624,silver,silver,2.0,Mir7036,miRNA
ENSMUSG00000065593,silver,silver,2.0,Mir339,miRNA
ENSMUSG00000098319,silver,silver,2.0,Mir7038,miRNA
ENSMUSG00000098623,silver,silver,2.0,Mir8112,miRNA
ENSMUSG00000093157,silver,silver,2.0,Mir3098,miRNA
ENSMUSG00000065543,silver,silver,2.0,Mir330,miRNA
ENSMUSG00000098802,silver,silver,2.0,Mir7046,miRNA
ENSMUSG00000098558,silver,silver,2.0,Mir7049,miRNA
ENSMUSG00000098661,silver,silver,2.0,Mir7052,miRNA
ENSMUSG00000098839,silver,silver,2.0,Mir7054,miRNA
ENSMUSG00000105913,silver,silver,2.0,Mir5121,miRNA
ENSMUSG00000076036,silver,silver,2.0,,
ENSMUSG00000098540,silver,silver,2.0,Mir7059,miRNA
ENSMUSG00000076454,silver,silver,2.0,Mir762,miRNA
ENSMUSG00000099092,silver,silver,2.0,Mir7062,miRNA
ENSMUSG00000065551,silver,silver,2.0,Mir210,miRNA
ENSMUSG00000076275,silver,silver,2.0,Mir675,miRNA
ENSMUSG00000088054,silver,silver,2.0,Mir1968,miRNA
