"","host_gene_id","host_gene_name","mirna_id","mirna_name","host_gene_stable_id","id"
"1","ENSMUSG00000025909.16","Sntg1","ENSMUSG00000093970.1","Gm23358","ENSMUSG00000025909","Sntg1 (Gm23358)"
"2","ENSMUSG00000099906.2","Gm28653","ENSMUSG00000065559.1","Mir206","ENSMUSG00000099906","Gm28653 (Mir206)"
"3","ENSMUSG00000099906.2","Gm28653","ENSMUSG00000065480.1","Mir133b","ENSMUSG00000099906","Gm28653 (Mir133b)"
"4","ENSMUSG00000097970.1","Gm27028","ENSMUSG00000065567.1","Mir30c-2","ENSMUSG00000097970","Gm27028 (Mir30c-2)"
"5","ENSMUSG00000026131.18","Dst","ENSMUSG00000105982.1","Mir6896","ENSMUSG00000026131","Dst (Mir6896)"
"6","ENSMUSG00000102336.1","Gm37233","ENSMUSG00000092852.1","Mir5103","ENSMUSG00000102336","Gm37233 (Mir5103)"
"7","ENSMUSG00000037470.14","Uggt1","ENSMUSG00000098752.1","Mir6897","ENSMUSG00000037470","Uggt1 (Mir6897)"
"8","ENSMUSG00000010453.12","Kansl3","ENSMUSG00000098680.1","Mir6898","ENSMUSG00000010453","Kansl3 (Mir6898)"
"9","ENSMUSG00000037408.10","Cnnm4","ENSMUSG00000106081.1","Gm47280","ENSMUSG00000037408","Cnnm4 (Gm47280)"
"10","ENSMUSG00000026043.18","Col3a1","ENSMUSG00000105211.1","Gm47302","ENSMUSG00000026043","Col3a1 (Gm47302)"
"11","ENSMUSG00000026109.14","Tmeff2","ENSMUSG00000092906.1","Gm25736","ENSMUSG00000026109","Tmeff2 (Gm25736)"
"12","ENSMUSG00000096141.2","Dnah7a","ENSMUSG00000092657.1","Gm25240","ENSMUSG00000096141","Dnah7a (Gm25240)"
"13","ENSMUSG00000025959.13","Klf7","ENSMUSG00000098487.1","Mir6899","ENSMUSG00000025959","Klf7 (Mir6899)"
"14","ENSMUSG00000100301.6","6030407O03Rik","ENSMUSG00000098504.1","Mir6351","ENSMUSG00000100301","6030407O03Rik (Mir6351)"
